上海台1230,#genre#
宁波民生休闲,http://192.168.31.5:8080/ningboTV.php?id=nbtv1
宁波新闻综合,http://192.168.31.5:8080/ningboTV.php?id=nbtv2
宁波影视娱乐,http://192.168.31.5:8080/ningboTV.php?id=nbtv3
宁波经济生活,http://192.168.31.5:8080/ningboTV.php?id=nbtv4


成都,#genre#
成都新闻,http://192.168.31.5:8080/cd.php?id=cdtv1
成都经济,http://192.168.31.5:8080/cd.php?id=cdtv2
成都生活,http://192.168.31.5:8080/cd.php?id=cdtv3
成都影视,http://192.168.31.5:8080/cd.php?id=cdtv4
成都公共,http://192.168.31.5:8080/cd.php?id=cdtv5
成都少儿,http://192.168.31.5:8080/cd.php?id=cdtv6
成都蓉城,http://192.168.31.5:8080/cd.php?id=cdrcxf
成华有线电视,http://192.168.31.5:8080/cd.php?id=chy

西安,#genre#
西安新闻综合,http://192.168.31.5:8080/xatv.php?id=xazh
西安都市,http://192.168.31.5:8080/xatv.php?id=xads
西安商务资讯,http://192.168.31.5:8080/xatv.php?id=xasw
西安影视,http://192.168.31.5:8080/lxatv.php?id=xays
西安丝路,http://192.168.31.5:8080/xatv.php?id=xasl
西安乐购购物,http://192.168.31.5:8080/xatv.php?id=xagw
西安移动电视,http://192.168.31.5:8080/xatv.php?id=xayd

河北原,#genre#
河北卫视,http://192.168.31.5:8080/hbws.php?id=hbws
河北卫视,http://192.168.31.5:8080/hbws.php?id=10524916​
经济生活,http://192.168.31.5:8080/hbws.php?id=hbjjsh
经济生活,http://192.168.31.5:8080/hbws.php?id=10516507​
三农频道,http://192.168.31.5:8080/hbws.php?id=hbsn
三农频道,http://192.168.31.5:8080/hbws.php?id=10516508​
河北都市,http://192.168.31.5:8080/hbws.php?id=hbds
河北都市,http://192.168.31.5:8080/hbws.php?id=10516509​
河北影视剧,http://192.168.31.5:8080/hbws.php?id=hbysj
河北影视剧,http://192.168.31.5:8080/hbws.php?id=10516510​
